epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.04584,1.27442,3.39096,1.66598,0.00501,1,0.14231,0.05913,1.08394,3.0859,2.44414,1.429e-05,1.429e-05,1.429e-05
2,2.80722,1.42269,3.40842,1.68642,0.00509,1,0.13067,0.06389,1.04487,3.12771,2.38136,4.20212e-05,4.20212e-05,4.20212e-05
3,3.46432,0.96306,3.16126,1.31684,0.00513,1,0.17141,0.08486,1.2166,3.0584,2.36838,6.86206e-05,6.86206e-05,6.86206e-05
4,4.1211,1.1451,3.28988,1.52227,0.00522,1,0.24041,0.15551,1.08867,3.07924,2.232,9.40882e-05,9.40882e-05,9.40882e-05
5,4.77324,1.07113,3.20856,1.58689,0.00538,1,0.28702,0.16455,0.89125,3.09739,1.94417,0.000118424,0.000118424,0.000118424
6,5.37816,1.07522,2.99652,1.27779,0.00548,1,0.37312,0.26121,0.92354,3.03326,1.88346,0.000141628,0.000141628,0.000141628
7,5.98005,1.00777,3.07696,1.51819,0.0055,1,0.82917,0.58872,0.89257,2.98347,1.7007,0.000163701,0.000163701,0.000163701
8,6.59928,0.89609,2.84219,1.29697,0.00555,1,0.82917,0.6053,0.8896,2.97566,1.57515,0.000184641,0.000184641,0.000184641
9,7.20935,0.86696,2.60799,1.38061,0.00542,1,0.74625,0.57836,0.74965,2.92276,1.47506,0.00020445,0.00020445,0.00020445
10,7.80684,0.80725,2.40693,1.11099,0.00533,1,0.82917,0.63846,0.73157,2.85027,1.4761,0.000223127,0.000223127,0.000223127
11,8.39054,0.75558,2.26433,1.20222,0.00526,1,0.82917,0.68821,0.67109,2.78233,1.44547,0.000240672,0.000240672,0.000240672
12,8.9519,0.62501,2.18836,1.17576,0.00526,1,0.82917,0.68821,0.67109,2.78233,1.44547,0.000257086,0.000257086,0.000257086
13,9.53823,0.5704,2.11047,1.0624,0.00525,1,0.91167,0.75426,0.78109,2.70099,1.74165,0.000272367,0.000272367,0.000272367
14,10.1435,0.53428,1.88226,1.00348,0.00528,1,0.91167,0.75426,0.85936,2.63497,1.92263,0.000286517,0.000286517,0.000286517
15,10.721,0.69556,2.05995,1.09884,0.00528,1,0.91167,0.75426,0.85936,2.63497,1.92263,0.000299536,0.000299536,0.000299536
16,11.3074,0.64163,1.74929,1.18493,0.00524,1,0.91167,0.6548,0.87358,2.62545,1.93625,0.000311422,0.000311422,0.000311422
17,11.9137,0.64306,1.69825,1.07991,0.00483,1,0.91167,0.70454,0.88178,2.67062,1.93292,0.000322177,0.000322177,0.000322177
18,12.4902,0.69543,1.75417,1.19758,0.00483,1,0.91167,0.70454,0.88178,2.67062,1.93292,0.0003318,0.0003318,0.0003318
19,13.0786,0.69968,1.64796,1.09704,0.00464,1,0.995,0.82083,0.86288,2.53054,1.77771,0.000340291,0.000340291,0.000340291
20,13.6839,0.6382,1.73882,1.11488,0.00464,1,0.995,0.82083,0.86288,2.53054,1.77771,0.00034765,0.00034765,0.00034765
21,14.293,0.52908,1.41682,1.07409,0.0046,1,0.995,0.82079,0.79277,2.34158,1.53371,0.000353878,0.000353878,0.000353878
22,14.8799,0.63579,1.47186,1.22022,0.0046,1,0.995,0.82079,0.79277,2.34158,1.53371,0.000358973,0.000358973,0.000358973
23,15.4878,0.72782,1.7583,1.23258,0.00462,1,0.995,0.82079,0.73955,2.30035,1.45903,0.000362937,0.000362937,0.000362937
24,16.0711,0.67451,1.32226,1.11122,0.00462,1,0.995,0.82079,0.73955,2.30035,1.45903,0.00036577,0.00036577,0.00036577
25,16.6748,0.66457,1.57193,1.14543,0.56855,1,0.995,0.82083,0.73349,2.19474,1.46049,0.00036747,0.00036747,0.00036747
26,17.2545,0.50059,1.18585,0.96487,0.56855,1,0.995,0.82083,0.73349,2.19474,1.46049,0.000368039,0.000368039,0.000368039
27,17.8381,0.66737,1.43735,1.13855,0.56855,1,0.995,0.82083,0.73349,2.19474,1.46049,0.000367476,0.000367476,0.000367476
28,18.4595,0.8093,1.84961,1.15415,0.96566,0.5,0.995,0.796,0.81329,1.92496,1.52143,0.000365781,0.000365781,0.000365781
29,19.0221,0.58357,1.41647,1.1539,0.96566,0.5,0.995,0.796,0.81329,1.92496,1.52143,0.000362955,0.000362955,0.000362955
30,19.6374,0.59736,1.16903,1.02663,0.79722,1,0.995,0.796,0.87682,1.67544,1.59254,0.000358996,0.000358996,0.000358996
31,20.2001,0.68638,1.25509,1.24094,0.79722,1,0.995,0.796,0.87682,1.67544,1.59254,0.000353906,0.000353906,0.000353906
32,20.7514,0.65878,1.40023,1.09916,0.79722,1,0.995,0.796,0.87682,1.67544,1.59254,0.000347684,0.000347684,0.000347684
33,21.342,0.49325,1.1633,1.03218,0.80732,1,0.995,0.82079,0.87993,1.74865,1.61451,0.000340331,0.000340331,0.000340331
34,21.9266,0.54005,1.28043,1.02721,0.80732,1,0.995,0.82079,0.87993,1.74865,1.61451,0.000331845,0.000331845,0.000331845
35,22.4987,0.84716,1.3372,1.12264,0.80732,1,0.995,0.82079,0.87993,1.74865,1.61451,0.000322228,0.000322228,0.000322228
36,23.0977,0.7141,1.17711,1.09946,0.82254,1,0.995,0.82079,0.83719,1.69229,1.60901,0.000311479,0.000311479,0.000311479
37,23.6731,0.4915,1.11923,0.9381,0.82254,1,0.995,0.82079,0.83719,1.69229,1.60901,0.000299598,0.000299598,0.000299598
38,24.2594,0.60926,1.29264,1.02861,0.82254,1,0.995,0.82079,0.83719,1.69229,1.60901,0.000286586,0.000286586,0.000286586
39,24.8555,0.53615,1.17403,0.98461,0.78018,1,0.995,0.84575,0.78917,1.53078,1.61225,0.000272442,0.000272442,0.000272442
40,25.4539,0.83197,1.74985,1.15432,0.78018,1,0.995,0.84575,0.78917,1.53078,1.61225,0.000257166,0.000257166,0.000257166
41,30.7939,0.55333,1.78288,1.06745,0.78018,1,0.995,0.84575,0.78917,1.53078,1.61225,0.000240758,0.000240758,0.000240758
42,31.4578,0.4888,1.64268,0.8298,0.78591,1,0.995,0.84575,0.77899,1.42127,1.58624,0.000223218,0.000223218,0.000223218
43,32.027,0.44493,1.83731,0.89601,0.78591,1,0.995,0.84575,0.77899,1.42127,1.58624,0.000204547,0.000204547,0.000204547
44,32.6125,0.51282,1.68205,0.88031,0.78591,1,0.995,0.84575,0.77899,1.42127,1.58624,0.000184744,0.000184744,0.000184744
45,33.2051,0.55228,1.62269,1.00346,0.78591,1,0.995,0.84575,0.77899,1.42127,1.58624,0.000163809,0.000163809,0.000163809
46,33.8309,0.47639,1.69348,0.88867,0.789,1,0.995,0.84575,0.73636,1.31598,1.59005,0.000141743,0.000141743,0.000141743
47,34.3933,0.43514,1.60891,1.02562,0.789,1,0.995,0.84575,0.73636,1.31598,1.59005,0.000118544,0.000118544,0.000118544
48,35.0003,0.58864,2.01283,0.91382,0.789,1,0.995,0.84575,0.73636,1.31598,1.59005,9.4214e-05,9.4214e-05,9.4214e-05
49,35.6217,0.59802,1.79411,1.10882,0.789,1,0.995,0.84575,0.73636,1.31598,1.59005,6.8752e-05,6.8752e-05,6.8752e-05
50,36.2603,0.38479,1.54832,0.94798,0.82906,1,0.995,0.87054,0.71595,1.22751,1.56636,4.21584e-05,4.21584e-05,4.21584e-05
